"harpnum_trec","sharp_num","t_rec","bout_path","bout_md5","bout_size","grid_x","grid_y","grid_z","grid_xyz","bout_maxlevel","bout_quality","batch","notes","bout_quality_value","identifiers"
"6558.20160520_044800_TAI",6558,"2016-05-20 04:48:00.000",grid3.done/num_6500_6599/hmi.sharp_cea_720s.6558.20160520_044800_TAI/Bout.bin,ea4c960822a1284fe43637b1717bc30b,3580360704,432,764,452,149181696,3,true,20220301,new,15.568,"6558201605200448003"
"6558.20160520_044800_TAI",6558,"2016-05-20 04:48:00.000",grid2.done/hmi.sharp_cea_720s.6558.20160520_044800_TAI/Bout.bin,bf41326b2b90597a539a796c7eb72e10,447545088,216,382,226,18647712,2,true,20220301,old,16.3647,"6558201605200448002"
"2887.20130629_111200_TAI",2887,"2013-06-29 11:12:00.000",grid2.done/hmi.sharp_cea_720s.2887.20130629_111200_TAI/Bout.bin,c3661aaef993bed04a10fb74483e7613,456693120,214,390,228,19028880,2,true,20220301,old,17.953399658203125,"2887201306291112002"
"2887.20130629_111200_TAI",2887,"2013-06-29 11:12:00.000",grid3.done/num_2800_2899/hmi.sharp_cea_720s.2887.20130629_111200_TAI/Bout.bin,"38f40bf4cd8e7fa66d2563570ccbbd3f",3653544960,428,780,456,152231040,3,true,20220301,new,18.4681,"2887201306291112003"
"5183.20150215_080000_TAI",5183,"2015-02-15 08:00:00.000",grid2.done/hmi.sharp_cea_720s.5183.20150215_080000_TAI/Bout.bin,"7de9b081558f9069f4a4732f8bdcb42f",198342144,168,286,172,8264256,2,true,20220301,old,17.937400817871094,"5183201502150800002"
"5183.20150215_080000_TAI",5183,"2015-02-15 08:00:00.000",grid3.done/num_5100_5199/hmi.sharp_cea_720s.5183.20150215_080000_TAI/Bout.bin,"699f15ec220de03d299914b29ceccae8",1586737152,336,572,344,66114048,3,true,20220301,new,18.8076,"5183201502150800003"
"2672.20130425_204800_TAI",2672,"2013-04-25 20:48:00.000",grid3.done/num_2600_2699/hmi.sharp_cea_720s.2672.20130425_204800_TAI/Bout.bin,"32038281037d3a03e35135ac0f65aab4",951552000,236,560,300,39648000,3,true,20220301,new,17.9975,"2672201304252048003"
"6002.20151013_031200_TAI",6002,"2015-10-13 03:12:00.000",grid2.done/hmi.sharp_cea_720s.6002.20151013_031200_TAI/Bout.bin,"135363fc0e0517b5a7615f5473f1ee81",38610432,114,144,98,1608768,2,true,20220301,old,16.395099639892578,"6002201510130312002"
"6002.20151013_031200_TAI",6002,"2015-10-13 03:12:00.000",grid3.done/num_6000_6099/hmi.sharp_cea_720s.6002.20151013_031200_TAI/Bout.bin,fbe13ab0feb76e34a4f2e435b480ec5d,308883456,228,288,196,12870144,3,true,20220301,new,17.1233,"6002201510130312003"
"6820.20161026_222400_TAI",6820,"2016-10-26 22:24:00.000",grid2.done/hmi.sharp_cea_720s.6820.20161026_222400_TAI/Bout.bin,"3e830ab3b0d06cfdb3d9ac84907073e2",36093312,76,194,102,1503888,2,true,20220301,old,14.880200386047363,"6820201610262224002"
"6820.20161026_222400_TAI",6820,"2016-10-26 22:24:00.000",grid3.done/num_6800_6899/hmi.sharp_cea_720s.6820.20161026_222400_TAI/Bout.bin,"591851a63d8abdaa73e091615b8f6e83",288746496,152,388,204,12031104,3,true,20220301,new,15.8493,"6820201610262224003"
"5894.20150825_062400_TAI",5894,"2015-08-25 06:24:00.000",grid2.done/hmi.sharp_cea_720s.5894.20150825_062400_TAI/Bout.bin,"718945a2d986f5459b38a6ad47273c9b",1044192000,292,500,298,43508000,2,true,20220301,old,18.80940055847168,"5894201508250624002"
"5894.20150825_062400_TAI",5894,"2015-08-25 06:24:00.000",grid3.done/num_5800_5899/hmi.sharp_cea_720s.5894.20150825_062400_TAI/Bout.bin,bed7e9aa396c864549c9197bc97fb23e,8353536000,584,1000,596,348064000,3,true,20220301,new,19.4787,"5894201508250624003"
"6986.20170425_111200_TAI",6986,"2017-04-25 11:12:00.000",grid2.done/hmi.sharp_cea_720s.6986.20170425_111200_TAI/Bout.bin,a1d541fc80fffab6a86d410933e49ed0,1040143104,246,572,308,43339296,2,true,20220301,old,17.022600173950195,"6986201704251112002"
"6986.20170425_111200_TAI",6986,"2017-04-25 11:12:00.000",grid3.done/num_6900_6999/hmi.sharp_cea_720s.6986.20170425_111200_TAI/Bout.bin,"34901d8caa7f2ddb7a53c872dbc187da",8321144832,492,1144,616,346714368,3,true,20220301,new,17.3888,"6986201704251112003"
